q,u,shape,scale,loglik,aic,bic,ks_p,n_exc,mrl
0.9,1.0657128415647432,0.3448441850332433,0.598126068424306,-230.98700283296373,465.97400566592745,473.22924789330875,0.6588572093350112,278,0.9326366048779695
0.9039583333333333,1.08463254235515,0.3348542924675266,0.6181624204590648,-227.99107207318616,459.9821441463723,467.15664146317283,0.6110636755857888,267,0.9517689343055631
0.9079166666666667,1.1057182830461476,0.32645438188664794,0.6374514537347986,-224.30190292001708,452.60380584003417,459.69416072899327,0.541584056048001,256,0.971076485902938
0.911875,1.137666622488772,0.3328790912840815,0.6385384667911564,-216.6642720404002,437.3285440808004,444.33106050188985,0.5455910121638144,245,0.9819381967766371
0.9158333333333334,1.177865170334748,0.3502791390102783,0.6265088199503963,-206.5416998735529,417.0833997471058,423.99404197782115,0.5908541899556214,234,0.9870752120177689
0.9197916666666667,1.225602877013461,0.3841018419386366,0.5979345082865383,-193.96445301187055,391.9289060237411,398.74324956666135,0.5769697800374642,223,0.9865287466467009
0.9237500000000001,1.2612730214647403,0.3949559045485188,0.5976451761716646,-186.60546583468988,377.21093166937976,383.9241042187238,0.5583513099474813,212,1.0010411124919376
0.9277083333333334,1.2963846237029024,0.399454991008789,0.6049804308349336,-180.2724070703277,364.5448141406554,371.15142395677356,0.5514056086649721,201,1.0200324496467343
0.9316666666666666,1.3381182532194527,0.4155640667394572,0.6010418567768776,-172.22372567000895,348.4474513400179,354.94149948433886,0.577926514436081,190,1.0359622105776312
0.935625,1.3798178724453256,0.42830642559889714,0.602412975149222,-164.94888190835343,333.89776381670686,340.2725354283884,0.6073959335709682,179,1.0564664804477706
0.9395833333333333,1.4309696914627352,0.4543406407138476,0.5906766259249462,-155.87820035231772,315.75640070463544,322.004328663442,0.8103318921411478,168,1.0731222092248534
0.9435416666666667,1.491259051136277,0.50610429126928,0.5579653818373118,-144.85591944205447,293.71183888410894,299.82433049480557,0.9671011532971934,157,1.0857398330747636
0.9475,1.5477349832872447,0.5544336349932881,0.5356837170649796,-135.8135232646205,275.627046529241,281.59425977265767,0.9921538227579891,146,1.1088520430446591
0.9514583333333333,1.5814651639757513,0.5278888988089399,0.5839320093502068,-133.63426301292748,271.26852602585495,277.07907558273183,0.9771072279540447,135,1.1638391717897885
0.9554166666666667,1.6324224601851327,0.5276361695384593,0.6108203319554576,-128.29528725395738,260.59057450791477,266.2311376391248,0.9650388973142437,124,1.214005560648158
0.959375,1.6957616858717064,0.5362050569759538,0.6316891247049514,-121.67993949466015,247.3598789893203,252.81465462674498,0.9537690944256942,113,1.2666061961492425
0.9633333333333334,1.782143963101595,0.6029927726161909,0.6029490531175752,-111.89728789570417,227.79457579140833,233.04452141797688,0.9772839005340701,102,1.311973967175174
0.9672916666666667,1.843673678287986,0.5668344460740851,0.6809119856908901,-107.6089236206166,219.2178472412332,224.2395662542669,0.9567687788457847,91,1.4056972797071001
0.97125,1.939182244899197,0.5961815907640723,0.7040155835686261,-99.61525756265576,203.2305151253115,207.99456839465927,0.9374273628293042,80,1.495625040138758
0.9752083333333333,2.045627853777737,0.5892773482059207,0.7765444535764942,-92.21105071851812,188.42210143703625,192.89031444623078,0.9004207825361966,69,1.619220081715507
0.9791666666666666,2.159473987938367,0.47353158834553116,1.0052326582148576,-85.76886683228263,175.53773366456525,179.6586196856581,0.8337843061216625,58,1.8054673177474945
0.983125,2.3957338840433815,0.4859658910394713,1.086412220957509,-73.7347427002719,151.4694854005438,155.16978060396391,0.6806057583053702,47,1.9692858728475242
0.9870833333333333,2.634709518413268,0.3349042207832992,1.5322700650680192,-63.42030447142704,130.8406089428541,134.0076468197663,0.8630341305972294,36,2.3003239803493667
0.9910416666666666,3.186061673251472,,,,,,,25,2.6690514982570734
0.995,4.3456026640633,,,,,,,14,3.111165933575332
