q,u,shape,scale,loglik,aic,bic,ks_p,n_exc,mrl
0.9,1.1302736258601835,0.05781558122623748,0.5948166949002498,-149.65093100500843,303.30186201001686,310.5571042373981,0.8694159690490886,278,0.6311339018151846
0.9039583333333333,1.1460145387084373,0.040790464720421075,0.6149766507965931,-148.0837519094883,300.1675038189766,307.34200113577714,0.8686053597687773,267,0.6410566665759948
0.9079166666666667,1.1627556294817103,0.023511786426307277,0.6361981813915093,-146.23074014093083,296.46148028186167,303.55183517082077,0.6254153240835392,256,0.6514645070778502
0.911875,1.1991499026127437,0.03883772657694949,0.6187465077616263,-136.89924497292697,277.79848994585393,284.8010063669434,0.8424990081006328,245,0.6436785611317843
0.9158333333333334,1.2357787264734732,0.05476823348928704,0.602016895494911,-128.0595221635049,260.1190443270098,267.0296865577252,0.9205306473455848,234,0.6367011982794699
0.9197916666666667,1.2721128280425986,0.073639187443334,0.5843817356677736,-119.62706749250069,243.25413498500137,250.0684785279216,0.7711654051068515,223,0.6304235228327746
0.9237500000000001,1.2867073974337837,0.03954277232526243,0.6227604291903237,-119.97694567512166,243.9538913502433,250.66706389958733,0.8992081832521803,212,0.648302396260451
0.9277083333333334,1.3213450148569428,0.04325490865255047,0.6201037289788702,-113.64426519006258,231.28853038012517,237.89514019624332,0.8893984439970289,201,0.6480311175942902
0.9316666666666666,1.3426134142420545,0.0162720094405838,0.6528160266118745,-112.06066125255293,228.12132250510587,234.61537064942684,0.6784094738553456,190,0.6635904022830331
0.935625,1.3785839092460765,0.010517539637650232,0.66034332499228,-106.59925735340822,217.19851470681644,223.57328631849794,0.5880047733556091,179,0.6673608273813831
0.9395833333333333,1.4450699600583594,0.06254436726635723,0.6024685712696511,-93.37586569960011,190.75173139920022,196.99965935800674,0.8295642438374795,168,0.6423314976129516
0.9435416666666667,1.5002962425788635,0.10075969684011887,0.5677260004680764,-83.93640466456503,171.87280932913006,177.9853009398267,0.5073796078521438,157,0.6301749723853551
0.9475,1.5289679368766662,0.06582322232140131,0.605609470876125,-82.39215727678504,168.78431455357008,174.75152779698675,0.794894938328371,146,0.64786928254405
0.9514583333333333,1.5505649081153994,0.007271808367699806,0.6730392106817675,-82.53320486147085,169.0664097229417,174.87695927981855,0.9181437190045411,135,0.6779908593361131
0.9554166666666667,1.5973261957878038,-0.012775732554799586,0.6980075194347298,-77.83536404026503,159.67072808053007,165.31129121174015,0.8504201009065953,124,0.6891968973000459
0.959375,1.692313485134149,0.05422460886368263,0.6215699739479529,-65.39919402201114,134.7983880440223,140.25316368144698,0.9065151283752604,113,0.6569110380369764
0.9633333333333334,1.731759301390344,-0.005726443034616681,0.6904817771424119,-63.63559755419191,131.27119510838384,136.52114073495235,0.7028730783087445,102,0.6865273721859461
0.9672916666666667,1.8523301751212384,0.10831596726261954,0.5744963400993317,-50.41895173832865,104.8379034766573,109.859622489691,0.6896686373608787,91,0.6424290723374777
0.97125,1.899055614970684,0.01899037450095857,0.6676149433764622,-49.1940448789027,102.3880897578054,107.15214302715316,0.8344939609691594,80,0.6804777087692817
0.9752083333333333,1.9949736986981224,0.011329924936880596,0.677621296037366,-42.92862377797387,89.85724755594774,94.32546056514225,0.7832389255273627,69,0.6853616825847944
0.9791666666666666,2.059463348674263,-0.12266920470726081,0.838039269959771,-40.63606687716905,85.2721337543381,89.39301977543094,0.9071283534869997,58,0.7451122458851632
0.983125,2.199382841306487,-0.18079779049018288,0.9016944943067178,-33.640221007441426,71.28044201488285,74.98073721830296,0.7787874821551148,47,0.7611392206098749
0.9870833333333333,2.494145966701633,-0.04863481704023602,0.6962368239637315,-21.215880591906174,46.43176118381235,49.598799060724566,0.7223295531038856,36,0.6635955117206467
0.9910416666666666,2.682514849230264,,,,,,,25,0.7249273970969388
0.995,3.106173405961536,,,,,,,14,0.7308895149141111
