q,u,shape,scale,loglik,aic,bic,ks_p,n_exc,mrl
0.9,1.1306705783315365,0.03414505697422969,0.6540344029934342,-159.71103117029753,323.42206234059506,330.55875134811726,0.9700246649883357,262,0.6771380354201539
0.9039583333333333,1.1588645471678143,0.039365100871750686,0.6487043513782198,-152.8514012499245,309.702802499849,316.76166067487185,0.9735325771979633,252,0.6751994207652954
0.9079166666666667,1.1915138310039004,0.046990656896405136,0.6409511009165001,-145.1345651304767,294.2691302609534,301.2387241279347,0.9555049364095334,241,0.672463041195393
0.911875,1.2264949316895695,0.06277840115682892,0.624295157150262,-136.67299573250017,277.34599146500034,284.23082688604393,0.8817901106916912,231,0.6658586366935347
0.9158333333333334,1.2558687816500467,0.06601851157702208,0.6223566633019644,-130.78588113496187,265.57176226992374,272.36808767295923,0.8396207620858355,221,0.6660455870219544
0.9197916666666667,1.2938507248010351,0.08096672409813996,0.6087382826769429,-122.7649334827503,249.5298669655006,256.22408202693555,0.6955508009102043,210,0.6617887341935504
0.9237500000000001,1.3103446921864712,0.05163279932819671,0.6431171822539954,-122.03554760483883,248.07109520967765,254.66772994277372,0.9404573677527969,200,0.6779292990882311
0.9277083333333334,1.33848162939443,0.04121998820630103,0.6566877558277121,-117.93606730885755,239.8721346177151,246.36618276203606,0.9494518285295962,190,0.684841647819122
0.9316666666666666,1.3611113686568217,0.010733775948050013,0.6959142914366591,-116.02711098363187,236.05422196726374,242.42899357894527,0.8919851293076827,179,0.7034542558873058
0.935625,1.3955926002429535,0.001276463955980466,0.7087128546629018,-111.02277155396955,226.0455431079391,232.30534053778524,0.8604301382182105,169,0.709595805107385
0.9395833333333333,1.439694427974997,-0.003403888219918199,0.7154095343630322,-104.54736291971346,213.09472583942693,219.21991590548086,0.8387287381220815,158,0.7129796020297362
0.9435416666666667,1.5021772018333315,0.02454743048949037,0.6795248309099964,-94.44708327331269,192.89416654662537,198.8885910941536,0.7954369135080223,148,0.6965681683518978
0.9475,1.5654125496318116,0.05890122430087867,0.6413750000187947,-84.83711670094743,173.67423340189487,179.5287407722093,0.7323899783739773,138,0.681201893560298
0.9514583333333333,1.6106143516623883,0.0398908575997995,0.6656559043050507,-80.37833378521645,164.7566675704329,170.4450417433501,0.7236894372107074,127,0.693171425888751
0.9554166666666667,1.6645989017065717,0.04018777265301835,0.6678813307701235,-74.47812242512012,152.95624485024024,158.48059271983576,0.6895925270046608,117,0.6957116571718661
0.959375,1.7260975817949173,0.04474773789342665,0.6653614565603381,-68.18939579293794,140.3787915858759,145.7244492547997,0.612687806934187,107,0.6962910557695923
0.9633333333333334,1.7831589417935654,0.007535079611208401,0.7109034950691562,-63.96984988121155,131.93969976242312,137.06839614535878,0.8277494510009709,96,0.7163217945546353
0.9672916666666667,1.8212097380278536,-0.06575820574802094,0.8092401729754668,-62.14125589418416,128.2825117883683,133.19120638087534,0.8032659834449276,86,0.7590826811093128
0.97125,1.927662263293015,-0.05312597492658458,0.7851152092218174,-53.57592286374167,111.15184572748333,115.81331240805599,0.7753261374562302,76,0.745320236499695
0.9752083333333333,2.0315738239070877,-0.0858024404268393,0.8244135100131347,-46.870200324414064,97.74040064882813,102.08917518861941,0.6108795284814958,65,0.7588055074061573
0.9791666666666666,2.180280464785125,-0.05561295741778082,0.773840961282316,-37.839636557393824,79.67927311478765,83.69393948525259,0.5666129515205219,55,0.7327975327207042
0.983125,2.392165488755471,0.10327921466829695,0.5959534629655308,-26.354767765612106,56.70953553122421,60.322860510764855,0.5223710072865013,45,0.6628024121592929
0.9870833333333333,2.5758226721591457,0.21409557564079246,0.5308787693811531,-19.748963287545113,43.497926575090226,46.55064762432255,0.34581624889972606,34,0.6631840586424707
0.9910416666666666,2.6740156845354486,,,,,,,24,0.8164387852743408
0.995,3.0716935397730083,,,,,,,14,0.8420632355066698
