q,u,shape,scale,loglik,aic,bic,ks_p,n_exc,mrl
0.9,1.067339244440479,0.07235321081731605,0.6883225430439348,-183.10856647698117,370.21713295396233,377.3538219614845,0.9578257526938405,262,0.7415719513394828
0.9039583333333333,1.0806972551367424,0.04700163329621886,0.7219286664507383,-181.7218683367996,367.4437366735992,374.50259484862204,0.9737824021272317,252,0.7573416567423245
0.9079166666666667,1.10977869497423,0.04112541473439324,0.7309728458540793,-175.39205014253986,354.7841002850797,361.75369415206103,0.969441400536891,241,0.7622294081288503
0.911875,1.1526172481634567,0.06307988136580535,0.7043840204423806,-164.62274271123718,333.24548542247436,340.13032084351795,0.926791422142707,231,0.75145847868502
0.9158333333333334,1.181810021347731,0.05925576330688568,0.7111083914642223,-158.74619838560895,321.4923967712179,328.2887221742534,0.9352113819412463,221,0.7555739730375984
0.9197916666666667,1.2146016458707574,0.05310438947974424,0.7210908993546794,-152.49144110210315,308.9828822042063,315.67709726564124,0.9453016095249369,210,0.7613079578271189
0.9237500000000001,1.2627930845399753,0.0801343711475127,0.690553218721867,-141.96966533154358,287.93933066308716,294.53596539618326,0.6888282611982375,200,0.7499427853828189
0.9277083333333334,1.2767221814337286,0.03682487365524785,0.7466226665944355,-141.47548188655412,286.95096377310824,293.4450119174292,0.9826748019582596,190,0.7750362236314949
0.9316666666666666,1.3051638927576652,0.009032693350974695,0.7861845925291033,-137.55078275788782,279.10156551577563,285.47633712745716,0.9819853283159585,179,0.7933226294933252
0.935625,1.3598267135404611,0.026139892863301317,0.7632796138745707,-127.76039426699981,259.5207885339996,265.7805859638458,0.9899257563866277,169,0.7836858806470398
0.9395833333333333,1.4034522354793397,0.012383043737158308,0.7833234980661217,-121.37262365017155,246.7452473003431,252.87043736639703,0.9750765035157739,158,0.7931391312074312
0.9435416666666667,1.4349157178076561,-0.018984578335346808,0.8296657111243406,-117.55599895309203,239.11199790618406,245.1064224537123,0.9324493353964172,148,0.8142009216752475
0.9475,1.5114915582659467,0.010310485544307756,0.7859015093901904,-106.17229027461403,216.34458054922806,222.19908791954248,0.9385500506964986,138,0.7940623238061065
0.9514583333333333,1.5542724108647041,-0.02656950814926446,0.8401037644529152,-101.49753159972383,206.99506319944766,212.68343737236484,0.9000574331219924,127,0.8183160600033846
0.9554166666666667,1.6417047363513113,0.0054405879216280675,0.7922836081226035,-90.39133785294486,184.78267570588972,190.30702357548523,0.8657194565619032,117,0.7965917792946443
0.959375,1.703253023259776,-0.011287620104702923,0.8159284236561299,-84.02337308092044,172.04674616184087,177.3924038307647,0.8487659722173007,107,0.8067956239570693
0.9633333333333334,1.8003604000168931,0.004797551360072273,0.7928381011829402,-74.17373217056623,152.34746434113245,157.4761607240681,0.7475725920977814,96,0.7966430582726911
0.9672916666666667,1.8870930815539277,0.004393956569119933,0.7939115291498268,-66.53048290241725,137.0609658048345,141.9696603973415,0.6909547329728274,86,0.7974127803898696
0.97125,1.9680343218730214,-0.02996547568897976,0.8408592802747983,-60.54975521858699,125.09951043717398,129.76097711774665,0.8729505220897228,76,0.8163029291064372
0.9752083333333333,2.1048000213030695,-0.03532821349672666,0.8399990136346447,-51.37092489156042,106.74184978312084,111.09062432291212,0.8403386676554542,65,0.81120065993837
0.9791666666666666,2.217916479912865,-0.0733596345020983,0.893019990734112,-44.743082247950426,93.48616449590085,97.50083086636579,0.7927718163629247,55,0.8314279800183519
0.983125,2.380247405019376,-0.09901450757337008,0.9189533490737772,-36.73987547746734,77.47975095493469,81.09307593447532,0.7410558352984851,45,0.835051812353127
0.9870833333333333,2.5690799423066033,-0.2060761273101493,1.0693494898452116,-29.2733916231131,62.5467832462262,65.59950429545852,0.9944644924560211,34,0.8838870952429836
0.9910416666666666,2.946354326068708,,,,,,,24,0.8071673279796383
0.995,3.461073241572125,,,,,,,14,0.7063616330213295
