q,u,shape,scale,loglik,aic,bic,ks_p,n_exc,mrl
0.9,0.9919763841647833,0.2732339418002558,0.5064056596618289,-164.81132396828932,333.62264793657863,340.87789016395993,0.5885071070298338,278,0.7646425385022475
0.9039583333333333,1.0086187057734939,0.2672351909695364,0.5190831972579704,-163.2909071712487,330.5818143424974,337.7563116592979,0.5957286167037439,267,0.7791241275306204
0.9079166666666667,1.0421645163070474,0.2855653304509417,0.5036868552407809,-153.5455403048486,311.0910806096972,318.1814354986563,0.47581737911533273,256,0.7783832028950239
0.911875,1.0736207148388928,0.3018041103861644,0.49253109192991684,-145.42988305946878,294.85976611893756,301.862282540027,0.38009185462008777,245,0.7812267482373699
0.9158333333333334,1.0893390465873185,0.2896628357930335,0.5127207025210572,-145.47117187158858,294.94234374317716,301.85298597389254,0.3946904169270504,234,0.8018026686299252
0.9197916666666667,1.10622779267883,0.2772987821106714,0.5347924402834625,-145.2620608183841,294.5241216367682,301.33846517968846,0.4054173024209492,223,0.8241292256107512
0.9237500000000001,1.1415982255509916,0.2889128155502929,0.5277401326652225,-137.74751354730273,279.49502709460546,286.2081996439495,0.34672542156982733,212,0.8306210572615703
0.9277083333333334,1.1681553332971197,0.2870181628053964,0.5385704184995261,-134.3029538411645,272.605907682329,279.21251749844714,0.3150834984327139,201,0.8486369414882505
0.9316666666666666,1.1977023820748915,0.28561942245968297,0.5492218030375133,-130.40059893341834,264.8011978668367,271.29524601115764,0.28501843217975165,190,0.8674105587906304
0.935625,1.2321108330988493,0.2886989406476079,0.5549961545427451,-125.27035342370947,254.54070684741893,260.9154784591004,0.24607206166622064,179,0.88485394280995
0.9395833333333333,1.2754086177047979,0.29918523973798883,0.5508857103038032,-118.09572898187983,240.19145796375966,246.43938592256617,0.22193111177330715,168,0.8978068456826114
0.9435416666666667,1.3274485837105303,0.31781443093620854,0.5369737565278598,-109.27010767701125,222.5402153540225,228.65270696471913,0.23019167122717887,157,0.9069097114141921
0.9475,1.3668762123451488,0.3188104407395364,0.548631049093669,-104.89253574576705,213.7850714915341,219.75228473495076,0.19185811823530252,146,0.9340646481501849
0.9514583333333333,1.411105120670701,0.31995335387299073,0.5609222097217063,-100.14254032378483,204.28508064756966,210.0956302044465,0.16116018836891133,135,0.9640554502027907
0.9554166666666667,1.4736948114879551,0.3374065812925531,0.5511450246288655,-91.96494401428915,187.9298880285783,193.57045115978838,0.2004558590024208,124,0.9840260905552443
0.959375,1.5817377110407678,0.4228499557742005,0.46509870702254974,-74.2775081454543,152.5550162909086,158.0097919283333,0.6793006704135891,113,0.9666145383982729
0.9633333333333334,1.6378853124567807,0.4376211934050828,0.47059975492364214,-69.75862730890681,143.51725461781362,148.76720024438217,0.7117915464204656,102,1.0117811640872634
0.9672916666666667,1.7098585760748894,0.47598344718147023,0.45743460799792046,-63.14517527398843,130.29035054797686,135.31206956101056,0.712119781167826,91,1.057440003017291
0.97125,1.7735849731975255,0.49039557674931866,0.4744331089053824,-59.573908238219374,123.14781647643875,127.9118697457865,0.6552261242481606,80,1.13367635065677
0.9752083333333333,1.8660124473378417,0.5365163883115305,0.46536202621540645,-53.23640087776419,110.47280175552838,114.9410147647229,0.6500600302923524,69,1.2147065496845155
0.9791666666666666,1.9685215612864397,0.5850861152722324,0.4658385027779921,-47.62981580609032,99.25963161218064,103.38051763327348,0.6295463062364786,58,1.3327341248960212
0.983125,2.094760589148564,0.6289356681997316,0.48148906857870777,-42.21041936078287,88.42083872156574,92.12113392498586,0.5831724700431524,47,1.5060393956559648
0.9870833333333333,2.246615551876417,0.6846812776819207,0.5176908822750789,-36.94902316723986,77.89804633447972,81.06508421139193,0.5143408252225679,36,1.7893010781863283
0.9910416666666666,2.500084449613748,,,,,,,25,2.262118012562639
0.995,2.844388577671587,,,,,,,14,3.554772396528385
