Date,Open,High,Low,Close,Volume
07/01/2024,"14,657","14,789","14,592","14,789","7,851,854"
06/28/2024,"14,855","14,855","14,625","14,625","17,489,180"
06/27/2024,"14,789","14,888","14,756","14,822","10,650,743"
06/26/2024,"14,888","14,921","14,723","14,822","21,588,236"
06/25/2024,"14,954","15,053","14,822","14,888","33,563,951"
06/24/2024,"15,217","15,283","14,855","14,921","48,528,637"
06/21/2024,"15,316","15,382","15,217","15,283","16,187,040"
06/20/2024,"15,415","15,448","15,250","15,316","22,291,540"
06/19/2024,"15,415","15,448","15,184","15,349","20,694,437"
06/18/2024,"15,481","15,514","15,316","15,316","18,922,172"
06/17/2024,"15,415","15,415","15,119","15,316","27,637,617"
06/14/2024,"15,810","15,810","15,217","15,217","39,553,005"
06/13/2024,"15,283","15,613","15,250","15,514","61,685,444"
06/12/2024,"14,855","15,217","14,756","15,217","39,131,001"
06/11/2024,"14,921","14,954","14,789","14,855","16,140,438"
06/10/2024,"14,855","15,086","14,822","14,921","21,452,375"
06/07/2024,"14,855","14,921","14,690","14,789","13,873,760"
06/06/2024,"14,756","14,888","14,690","14,723","16,442,216"
06/05/2024,"14,855","14,954","14,625","14,625","20,822,556"
06/04/2024,"14,987","15,020","14,822","14,822","14,843,914"
06/03/2024,"14,460","15,020","14,460","14,888","37,590,990"
05/31/2024,"14,394","14,493","14,328","14,328","23,367,331"
05/30/2024,"14,559","14,592","14,295","14,394","43,961,277"
05/29/2024,"14,888","14,921","14,690","14,690","31,619,027"
05/28/2024,"14,954","14,987","14,723","14,888","20,352,280"
05/27/2024,"14,888","14,888","14,723","14,789","12,134,588"
05/24/2024,"14,855","15,349","14,592","14,789","55,587,336"
05/23/2024,"14,954","15,053","14,822","15,020","19,856,349"
05/22/2024,"15,547","15,580","15,283","15,283","31,654,093"
05/21/2024,"15,448","15,547","15,316","15,547","24,898,691"
05/20/2024,"15,547","15,547","15,415","15,448","28,349,407"
05/17/2024,"15,448","15,448","15,250","15,316","23,780,835"
05/16/2024,"15,250","15,514","15,152","15,415","50,466,968"
05/15/2024,"15,119","15,184","15,020","15,086","28,387,357"
05/14/2024,"15,086","15,283","14,954","15,053","28,911,447"
05/13/2024,"14,888","15,152","14,888","14,921","22,863,355"
05/10/2024,"14,987","15,086","14,822","14,888","21,543,606"
05/09/2024,"14,888","15,020","14,723","14,921","25,970,244"
05/08/2024,"14,756","14,954","14,690","14,855","36,610,970"
05/07/2024,"15,152","15,184","14,921","14,987","16,575,648"
05/06/2024,"14,855","15,119","14,855","15,086","25,659,359"
05/03/2024,"14,888","15,020","14,690","14,756","18,682,480"
05/02/2024,"14,690","14,855","14,625","14,756","17,120,458"
04/26/2024,"14,493","14,789","14,493","14,657","21,376,778"
04/25/2024,"14,888","14,888","14,592","14,657","19,738,856"
04/24/2024,"14,625","14,921","14,460","14,855","29,161,994"
04/23/2024,"14,888","14,954","14,328","14,493","48,687,113"
04/22/2024,"15,020","15,184","14,855","14,888","40,694,239"
04/19/2024,"14,888","15,349","14,888","14,954","47,961,617"
04/17/2024,"15,810","15,843","15,217","15,217","47,826,425"
04/16/2024,"15,415","15,744","15,184","15,744","74,947,860"
04/15/2024,"16,107","16,502","15,152","15,415","90,946,120"
04/12/2024,"15,711","16,271","15,646","16,238","45,071,237"
04/11/2024,"15,481","15,711","15,415","15,646","19,045,738"
04/10/2024,"16,008","16,041","15,679","15,679","60,951,189"
04/09/2024,"15,481","15,810","15,415","15,810","26,280,980"
04/08/2024,"15,415","15,679","15,250","15,481","39,607,653"
04/05/2024,"15,514","15,646","15,349","15,382","40,111,022"
04/04/2024,"15,942","15,975","15,679","15,679","50,887,454"
04/03/2024,"16,337","16,337","15,942","15,942","38,349,898"
04/02/2024,"16,206","16,337","15,942","16,337","51,722,508"
04/01/2024,"16,601","16,634","16,271","16,403","44,186,305"
03/29/2024,"16,831","16,831","16,568","16,733","20,563,434"
03/28/2024,"16,897","16,930","16,601","16,798","24,271,149"
03/27/2024,"16,634","16,733","16,469","16,667","22,180,711"
03/26/2024,"16,271","16,634","16,206","16,634","26,072,864"
03/25/2024,"16,502","16,700","16,206","16,271","36,080,883"
03/22/2024,"16,469","16,930","16,370","16,502","63,365,413"
03/21/2024,"16,008","16,304","15,876","16,304","52,423,213"
03/20/2024,"15,283","16,074","15,217","15,909","60,986,103"
03/19/2024,"15,283","15,382","15,119","15,283","32,325,656"
03/18/2024,"15,646","15,679","14,756","15,283","50,036,917"
03/15/2024,"15,448","15,711","15,250","15,679","38,885,237"
03/14/2024,"15,777","15,777","15,415","15,448","31,462,368"
03/13/2024,"15,217","15,711","15,217","15,711","27,392,610"
03/12/2024,"15,086","15,316","14,987","15,217","37,282,380"
03/11/2024,"15,514","15,547","15,020","15,119","58,308,351"
03/08/2024,"16,140","16,140","15,547","15,547","77,726,451"
03/07/2024,"16,271","16,337","16,041","16,074","39,493,638"
03/06/2024,"16,206","16,568","16,041","16,206","45,342,809"
03/05/2024,"15,942","16,238","15,876","16,206","43,671,187"
03/04/2024,"15,876","16,107","15,646","15,942","56,275,447"
03/01/2024,"15,876","15,909","15,679","15,810","41,625,227"
02/29/2024,"16,140","16,173","15,777","15,909","38,153,712"
02/28/2024,"16,041","16,173","15,909","16,074","29,432,802"
