Date,Open,High,Low,Close,Volume
07/01/2021,"15,346","15,452","15,117","15,364","72,003,736"
06/30/2021,"15,382","15,718","15,329","15,329","73,515,889"
06/29/2021,"15,276","15,488","15,028","15,364","53,223,047"
06/28/2021,"15,063","15,311","15,028","15,240","52,727,290"
06/25/2021,"14,851","14,922","14,604","14,887","53,034,983"
06/24/2021,"15,010","15,117","14,745","14,851","63,694,970"
06/23/2021,"14,940","15,010","14,675","14,816","67,097,947"
06/22/2021,"14,498","15,010","14,462","14,851","105,550,732"
06/21/2021,"14,286","14,480","14,179","14,374","53,728,697"
06/18/2021,"14,498","14,498","14,303","14,339","73,878,723"
06/17/2021,"13,437","14,144","13,402","14,109","75,364,235"
06/16/2021,"13,879","13,985","13,667","13,684","58,631,374"
06/15/2021,"13,897","14,126","13,667","13,897","70,391,193"
06/14/2021,"13,932","14,109","13,755","13,897","70,672,693"
06/11/2021,"13,508","14,126","13,348","13,932","70,752,330"
06/10/2021,"13,614","13,773","13,331","13,402","44,984,980"
06/09/2021,"13,119","13,720","12,995","13,631","86,613,082"
06/08/2021,"13,967","14,126","13,119","13,189","86,070,099"
06/07/2021,"14,675","14,675","13,790","14,056","89,638,796"
06/04/2021,"14,568","15,099","14,533","14,692","93,031,312"
06/03/2021,"14,144","14,551","14,091","14,551","86,730,726"
06/02/2021,"13,402","13,684","13,295","13,614","68,306,932"
06/01/2021,"13,649","13,737","13,472","13,508","46,185,763"
05/31/2021,"13,437","13,543","13,083","13,437","88,248,481"
05/28/2021,"12,942","13,331","12,800","13,331","75,233,920"
05/27/2021,"13,260","13,348","12,747","12,906","81,104,639"
05/26/2021,"12,995","13,260","12,942","13,260","98,009,778"
05/25/2021,"12,305","12,659","12,288","12,659","65,196,945"
05/24/2021,"12,305","12,376","12,164","12,288","58,966,333"
05/21/2021,"12,164","12,464","12,111","12,252","57,996,769"
05/20/2021,"12,270","12,288","12,111","12,199","51,317,232"
05/19/2021,"11,916","12,199","11,810","12,199","84,003,086"
05/18/2021,"11,616","11,846","11,527","11,775","66,282,910"
05/17/2021,"11,846","11,846","11,598","11,634","54,419,306"
05/14/2021,"11,810","11,810","11,616","11,669","61,834,692"
05/13/2021,"11,598","11,952","11,598","11,651","76,065,082"
05/12/2021,"11,510","11,740","11,474","11,740","59,926,052"
05/11/2021,"11,740","11,810","11,563","11,563","71,789,939"
05/10/2021,"11,174","11,828","11,156","11,740","103,845,139"
05/07/2021,"11,068","11,209","11,032","11,174","70,226,884"
05/06/2021,"11,209","11,351","11,085","11,174","53,909,408"
05/05/2021,"11,156","11,457","11,138","11,209","80,442,792"
