Date,Open,High,Low,Close,Volume
07/01/2020,"80,444","81,333","79,111","80,889","216,067"
06/30/2020,"80,889","80,889","79,111","79,111","394,369"
06/29/2020,"81,333","81,689","79,111","79,111","505,541"
06/26/2020,"83,111","83,911","81,333","81,333","250,020"
06/25/2020,"82,933","83,911","82,489","83,022","252,529"
06/24/2020,"84,000","84,533","83,556","84,178","241,110"
06/23/2020,"85,511","85,600","83,733","83,733","486,709"
06/22/2020,"86,222","86,222","84,622","86,133","909,022"
06/19/2020,"80,889","86,489","80,889","86,489","2,070,112"
06/18/2020,"81,689","82,222","80,800","80,889","2,601,956"
06/17/2020,"82,667","83,022","80,444","81,689","428,490"
06/16/2020,"81,333","84,267","79,911","83,022","740,790"
06/15/2020,"82,667","82,667","79,111","79,111","890,674"
06/12/2020,"80,000","82,222","79,911","81,600","985,432"
06/11/2020,"84,978","85,511","82,667","82,667","856,732"
06/10/2020,"85,511","85,511","84,800","84,978","549,551"
06/09/2020,"86,222","86,222","85,422","85,511","358,200"
06/08/2020,"84,622","86,756","84,622","85,333","542,452"
06/05/2020,"85,333","85,511","84,444","84,444","704,104"
06/04/2020,"86,044","86,044","85,333","85,333","7,329,554"
06/03/2020,"85,778","86,044","84,889","86,044","693,484"
06/02/2020,"86,400","86,400","85,778","85,956","564,412"
06/01/2020,"86,222","86,400","85,778","86,400","654,176"
05/29/2020,"86,222","86,667","85,867","86,222","555,187"
05/28/2020,"86,133","86,667","85,600","86,222","397,789"
05/27/2020,"86,133","87,022","85,778","86,133","2,454,502"
05/26/2020,"86,222","86,667","85,689","86,133","742,500"
05/25/2020,"85,511","86,311","85,333","86,311","4,743,450"
05/22/2020,"87,111","87,111","85,689","85,689","329,546"
05/21/2020,"86,222","87,111","86,133","87,111","1,096,211"
05/20/2020,"85,689","86,222","85,422","85,867","286,571"
05/19/2020,"86,311","86,578","85,333","85,778","16,571,080"
05/18/2020,"86,222","86,222","84,889","85,778","856,620"
05/15/2020,"85,333","86,667","85,156","86,222","1,267,909"
05/14/2020,"84,444","85,956","83,467","85,333","1,915,661"
05/13/2020,"84,533","85,333","81,333","84,444","2,984,096"
05/12/2020,"86,578","86,578","84,444","86,222","959,659"
05/11/2020,"87,111","87,111","85,244","86,667","3,255,660"
05/08/2020,"85,689","88,889","85,422","86,667","2,170,080"
