Date,Open,High,Low,Close,Volume
07/03/2023,"56,875","57,072","56,546","56,809","2,196,375"
06/30/2023,"56,875","56,941","56,546","56,546","1,815,166"
06/29/2023,"57,204","57,270","56,875","56,875","1,942,311"
06/28/2023,"57,467","57,730","57,204","57,204","1,949,459"
06/27/2023,"56,546","57,401","56,546","57,401","2,642,978"
06/26/2023,"55,955","56,415","55,626","56,415","2,646,025"
06/23/2023,"56,283","56,283","55,757","55,955","2,367,700"
06/22/2023,"56,612","56,875","55,692","56,218","1,550,837"
06/21/2023,"56,218","56,809","56,152","56,415","4,053,521"
06/20/2023,"55,889","56,415","55,692","56,218","2,382,148"
06/19/2023,"55,692","56,218","55,560","55,692","1,115,106"
06/16/2023,"55,297","56,678","54,837","55,560","3,698,010"
06/15/2023,"55,363","55,494","54,968","55,297","1,244,989"
06/14/2023,"55,429","55,757","55,297","55,363","1,229,780"
06/13/2023,"55,494","55,823","55,429","55,494","1,580,344"
06/12/2023,"55,560","55,823","54,968","55,823","1,134,117"
06/09/2023,"55,429","55,692","55,034","55,626","1,450,307"
06/08/2023,"55,692","55,823","54,903","54,968","2,885,224"
06/07/2023,"55,889","56,152","55,429","55,889","1,949,681"
06/06/2023,"56,086","56,086","55,692","56,086","781,730"
06/05/2023,"55,166","56,020","55,100","55,889","2,623,968"
06/02/2023,"54,903","55,429","54,640","55,100","1,119,213"
06/01/2023,"55,231","55,231","54,640","54,903","1,714,484"
05/31/2023,"55,363","55,363","54,640","55,297","1,276,623"
05/30/2023,"54,574","55,823","54,508","55,231","8,307,025"
05/29/2023,"54,903","55,034","54,508","54,640","1,337,763"
05/26/2023,"54,640","54,837","54,114","54,640","2,145,044"
05/25/2023,"53,390","54,837","53,259","54,705","2,115,995"
05/24/2023,"53,916","53,982","53,325","53,456","706,143"
05/23/2023,"54,245","54,245","53,522","53,916","1,740,034"
05/22/2023,"54,442","54,442","53,916","54,245","911,005"
05/19/2023,"54,574","54,771","53,785","54,442","3,123,879"
05/18/2023,"53,785","54,574","53,522","54,508","2,357,054"
05/17/2023,"53,851","54,377","53,325","53,588","2,070,217"
05/16/2023,"53,259","53,719","53,127","53,588","2,084,184"
05/15/2023,"53,522","53,785","53,127","53,259","2,128,772"
05/12/2023,"52,141","52,996","51,812","52,930","1,890,601"
05/11/2023,"52,009","52,338","51,944","52,009","761,959"
05/10/2023,"51,944","52,338","51,944","51,944","961,954"
05/09/2023,"51,681","52,470","51,681","51,878","921,499"
05/08/2023,"51,615","51,878","51,549","51,615","1,236,322"
05/05/2023,"51,681","51,681","51,418","51,549","485,464"
05/04/2023,"51,155","51,746","51,023","51,615","3,686,401"
04/28/2023,"51,812","51,812","50,957","50,957","1,453,961"
04/27/2023,"51,352","51,812","51,352","51,483","336,114"
04/26/2023,"51,352","51,549","51,023","51,483","1,962,995"
04/25/2023,"52,009","52,141","51,483","51,549","1,455,843"
04/24/2023,"52,273","52,996","51,944","52,009","1,208,336"
04/21/2023,"52,601","52,601","52,141","52,141","582,800"
04/20/2023,"52,470","52,470","52,075","52,207","554,207"
04/19/2023,"52,470","52,470","52,141","52,141","638,464"
04/18/2023,"52,338","52,601","52,075","52,207","506,300"
04/17/2023,"52,338","52,404","51,944","52,338","947,688"
04/14/2023,"52,536","52,667","52,141","52,338","855,493"
04/13/2023,"52,799","52,864","52,141","52,338","852,451"
04/12/2023,"52,799","52,930","52,536","52,799","970,629"
04/11/2023,"52,733","52,930","52,667","52,799","812,148"
04/10/2023,"53,259","53,259","52,667","52,799","1,170,770"
04/07/2023,"52,733","53,062","52,601","52,930","6,567,718"
04/06/2023,"53,062","53,588","52,799","52,799","962,581"
04/05/2023,"52,930","52,996","52,404","52,996","641,810"
04/04/2023,"53,193","53,259","52,601","52,930","889,104"
04/03/2023,"52,207","53,193","52,009","53,193","1,810,147"
03/31/2023,"52,009","52,273","51,944","52,009","2,651,800"
03/30/2023,"51,944","52,141","51,812","52,009","1,472,512"
03/29/2023,"52,075","52,141","51,681","51,944","1,293,201"
03/28/2023,"52,075","52,075","50,957","52,075","2,450,436"
03/27/2023,"51,878","52,075","51,615","52,009","1,609,513"
03/24/2023,"51,483","51,812","51,286","51,681","594,206"
03/23/2023,"51,549","51,615","51,023","51,286","694,432"
03/22/2023,"51,418","51,681","51,023","51,615","1,463,904"
03/21/2023,"51,681","51,746","50,694","51,352","1,459,241"
03/20/2023,"52,009","52,141","51,023","51,023","2,154,996"
03/17/2023,"52,338","52,601","51,681","51,944","653,064"
03/16/2023,"52,601","52,601","51,549","52,075","1,828,397"
03/15/2023,"52,009","52,930","52,009","52,930","1,977,443"
03/14/2023,"51,944","52,009","51,615","51,746","1,060,659"
03/13/2023,"51,352","52,207","51,352","51,878","1,348,257"
03/10/2023,"52,733","52,864","51,944","52,273","974,729"
03/09/2023,"52,273","53,062","52,075","52,996","1,936,379"
03/08/2023,"51,615","52,273","51,615","52,273","1,635,094"
03/07/2023,"52,009","52,536","51,812","51,812","1,370,157"
03/06/2023,"51,352","52,470","51,352","51,418","1,285,444"
03/03/2023,"52,141","52,601","51,615","51,615","1,126,665"
03/02/2023,"52,601","52,930","52,470","52,601","2,581,053"
03/01/2023,"52,273","52,930","51,746","52,930","2,262,759"
02/28/2023,"52,601","53,062","52,273","52,930","1,464,452"
02/27/2023,"52,601","52,930","52,536","52,799","1,650,759"
02/24/2023,"53,325","53,456","52,864","53,127","1,324,531"
02/23/2023,"53,719","53,719","52,996","53,522","15,984,195"
02/22/2023,"54,114","54,245","53,785","53,785","1,592,661"
02/21/2023,"54,442","55,034","54,311","54,442","1,277,536"
02/20/2023,"53,653","54,574","53,522","54,442","2,630,964"
02/17/2023,"53,390","53,653","53,259","53,653","832,832"
02/16/2023,"53,653","53,916","53,062","53,653","645,156"
02/15/2023,"52,930","53,851","52,799","53,653","7,681,337"
02/14/2023,"53,062","53,259","52,733","53,127","1,195,069"
02/13/2023,"53,062","53,390","52,601","53,062","3,210,113"
02/10/2023,"53,325","53,390","52,930","53,062","4,063,513"
02/09/2023,"53,259","53,653","53,062","53,062","5,308,618"
02/08/2023,"53,127","53,719","52,996","53,390","1,356,013"
02/07/2023,"52,930","53,851","52,930","53,062","1,239,058"
02/06/2023,"52,601","53,653","52,404","52,930","1,544,790"
02/03/2023,"53,916","53,916","52,667","52,667","3,012,703"
02/02/2023,"53,982","54,179","53,456","53,851","3,431,096"
02/01/2023,"55,231","55,231","53,785","53,916","1,624,752"
01/31/2023,"54,903","55,034","53,719","54,903","2,622,599"
01/30/2023,"55,363","55,494","55,034","55,034","1,391,450"
01/27/2023,"55,297","56,218","55,231","55,231","1,833,416"
01/19/2023,"54,574","55,363","54,508","55,166","2,313,459"
01/18/2023,"53,982","54,837","53,785","54,837","1,683,458"
01/17/2023,"53,390","53,916","53,259","53,916","1,646,805"
01/16/2023,"52,667","53,259","52,404","53,127","873,743"
01/13/2023,"52,930","53,390","52,601","52,601","1,519,355"
01/12/2023,"53,259","53,588","52,733","53,062","870,702"
01/11/2023,"52,864","53,653","52,864","53,193","1,637,831"
01/10/2023,"53,062","53,456","52,733","52,864","6,151,944"
01/09/2023,"52,930","53,193","52,536","52,799","789,183"
01/06/2023,"52,864","53,325","52,733","52,799","1,094,118"
01/05/2023,"52,733","53,588","52,733","52,996","1,540,039"
01/04/2023,"53,127","53,259","52,141","52,601","1,208,032"
01/03/2023,"50,563","52,601","50,497","52,601","2,334,849"
12/30/2022,"50,103","50,563","49,971","50,563","1,716,461"
12/29/2022,"50,300","50,629","50,103","50,103","1,355,885"
12/28/2022,"50,629","50,629","49,971","50,431","896,100"
12/27/2022,"50,234","50,957","49,971","50,300","2,416,088"
12/26/2022,"51,089","51,352","50,234","50,234","1,266,129"
12/23/2022,"50,234","51,286","50,103","51,286","2,772,557"
12/22/2022,"50,760","50,957","49,971","50,760","1,578,365"
12/21/2022,"50,760","50,892","49,774","50,760","1,296,145"
12/20/2022,"50,760","50,760","49,577","50,366","1,279,361"
12/19/2022,"51,483","51,483","50,366","50,366","1,560,723"
12/16/2022,"50,629","51,286","50,234","51,220","1,713,875"
12/15/2022,"50,234","51,352","50,234","51,089","1,821,249"
12/14/2022,"50,760","50,957","50,037","50,168","2,686,019"
12/13/2022,"50,103","50,826","49,445","50,760","1,368,332"
12/12/2022,"51,023","51,418","50,234","50,629","3,863,786"
12/09/2022,"50,168","51,286","50,103","51,286","1,501,865"
12/08/2022,"50,563","51,812","49,708","50,629","1,975,162"
12/07/2022,"49,905","50,366","49,182","50,300","1,671,139"
12/06/2022,"51,483","51,878","49,971","49,971","2,338,651"
12/05/2022,"51,286","51,944","50,892","51,483","1,849,994"
12/02/2022,"49,116","51,089","48,656","50,892","4,412,670"
12/01/2022,"49,379","49,840","48,722","49,116","2,701,836"
11/30/2022,"48,985","49,248","48,327","49,051","1,594,639"
11/29/2022,"49,248","49,248","47,999","48,853","1,739,578"
11/28/2022,"47,604","48,985","47,538","48,853","1,952,501"
11/25/2022,"46,421","47,341","46,355","47,341","2,231,734"
11/24/2022,"45,895","46,684","45,632","46,355","1,393,731"
11/23/2022,"46,026","46,684","45,829","46,355","708,576"
11/22/2022,"46,026","47,341","45,434","46,355","1,819,424"
11/21/2022,"45,697","47,210","45,697","46,092","1,278,296"
11/18/2022,"46,092","47,341","45,500","47,012","1,918,889"
11/17/2022,"45,566","47,341","42,410","46,684","3,167,224"
11/16/2022,"40,306","46,026","40,306","45,566","5,046,267"
11/15/2022,"46,026","46,026","43,330","43,330","13,853,583"
11/14/2022,"47,341","47,604","46,026","46,552","2,492,716"
11/11/2022,"48,064","48,393","47,341","47,867","2,200,404"
11/10/2022,"48,327","48,459","45,434","47,999","4,545,290"
11/09/2022,"48,196","48,853","48,196","48,656","1,365,290"
11/08/2022,"47,012","48,590","46,947","48,196","2,532,259"
11/07/2022,"47,736","48,656","47,736","47,736","3,096,504"
11/04/2022,"48,656","48,656","47,012","47,933","4,140,281"
11/03/2022,"48,985","49,774","48,459","48,722","1,022,637"
11/02/2022,"49,445","49,971","48,656","48,656","1,487,721"
11/01/2022,"50,168","50,497","49,314","49,642","930,016"
10/31/2022,"49,314","49,971","48,459","49,708","1,649,694"
10/28/2022,"50,168","50,168","49,116","49,314","1,408,027"
10/27/2022,"48,722","50,103","48,459","49,840","1,469,014"
10/26/2022,"48,985","48,985","47,801","48,525","1,026,743"
10/25/2022,"46,947","48,985","46,749","48,130","2,379,563"
10/24/2022,"48,590","48,985","46,684","46,749","4,888,400"
10/21/2022,"51,089","51,089","48,590","48,590","3,810,403"
10/20/2022,"49,840","51,615","49,511","51,155","2,764,801"
10/19/2022,"49,248","50,103","49,116","49,642","2,686,932"
10/18/2022,"48,656","49,511","48,656","49,248","1,369,245"
10/17/2022,"48,327","48,590","47,736","48,525","1,111,639"
10/14/2022,"48,919","48,985","48,393","48,656","1,283,924"
10/13/2022,"47,473","47,999","47,012","47,999","1,458,824"
10/12/2022,"46,684","48,196","46,684","47,604","2,225,194"
10/11/2022,"48,656","48,656","46,684","46,684","3,208,592"
10/10/2022,"48,327","49,642","47,407","48,656","2,730,581"
10/07/2022,"50,103","50,103","48,656","48,656","3,245,550"
10/06/2022,"51,878","51,878","50,300","50,300","1,926,494"
10/05/2022,"51,944","52,273","51,549","51,549","1,622,524"
10/04/2022,"51,286","51,944","50,760","50,957","3,142,130"
10/03/2022,"52,338","52,799","50,234","50,629","3,448,282"
09/30/2022,"50,629","53,127","50,563","52,930","4,595,935"
09/29/2022,"52,470","52,667","50,629","50,629","1,983,070"
09/28/2022,"52,667","52,864","51,286","51,286","3,598,545"
09/27/2022,"53,916","53,916","52,930","52,930","1,677,374"
09/26/2022,"53,588","53,916","52,799","53,588","3,230,858"
09/23/2022,"54,640","54,640","53,982","54,179","1,809,538"
09/22/2022,"53,916","54,574","53,851","54,508","1,813,493"
09/21/2022,"54,771","54,771","54,114","54,114","1,179,287"
09/20/2022,"54,640","55,100","54,114","54,837","3,005,707"
09/19/2022,"54,245","54,968","53,851","54,640","3,093,006"
09/16/2022,"55,034","55,166","54,245","54,245","2,068,544"
09/15/2022,"55,560","55,560","55,034","55,034","1,459,433"
09/14/2022,"54,903","55,560","54,903","55,231","2,243,142"
09/13/2022,"55,889","56,086","55,429","55,626","1,943,226"
09/12/2022,"55,955","56,020","55,429","55,626","1,166,512"
09/09/2022,"55,626","55,889","55,429","55,429","1,742,011"
09/08/2022,"55,297","55,889","55,100","55,429","1,976,835"
09/07/2022,"56,218","56,481","55,231","55,231","3,525,695"
09/06/2022,"56,546","56,809","56,415","56,415","2,424,124"
09/05/2022,"56,875","57,007","56,481","56,678","1,689,541"
08/31/2022,"56,415","57,204","56,415","56,941","2,053,335"
08/30/2022,"56,875","57,204","56,546","56,809","1,982,006"
08/29/2022,"57,204","57,204","55,692","56,875","3,864,698"
08/26/2022,"56,809","57,730","56,744","57,335","2,975,746"
