Date,Open,High,Low,Close,Volume
07/01/2016,"11,962","12,047","11,905","11,933","2,033,390"
06/30/2016,"12,104","12,132","11,905","11,905","2,351,438"
06/29/2016,"11,705","12,104","11,705","11,962","4,391,043"
06/28/2016,"11,734","11,791","11,677","11,734","2,950,840"
06/27/2016,"11,648","11,791","11,449","11,734","3,259,516"
06/24/2016,"11,876","11,876","11,136","11,648","9,174,185"
06/23/2016,"12,047","12,076","11,933","11,933","4,698,627"
06/22/2016,"12,104","12,218","12,076","12,076","1,055,055"
06/21/2016,"12,218","12,474","12,132","12,161","5,065,691"
06/20/2016,"11,534","12,218","11,506","12,161","6,591,006"
06/17/2016,"11,506","11,534","11,477","11,506","836,095"
06/16/2016,"11,534","11,563","11,477","11,506","1,261,656"
06/15/2016,"11,534","11,534","11,449","11,477","1,876,965"
06/14/2016,"11,477","11,534","11,477","11,534","851,685"
06/13/2016,"11,534","11,534","11,506","11,506","1,535,216"
06/10/2016,"11,506","11,563","11,506","11,534","1,668,503"
06/09/2016,"11,591","11,591","11,534","11,534","1,142,520"
06/08/2016,"11,534","11,591","11,506","11,591","1,814,008"
06/07/2016,"11,563","11,563","11,449","11,534","1,964,921"
06/06/2016,"11,591","11,591","11,449","11,506","2,788,305"
06/03/2016,"11,648","11,648","11,563","11,591","1,405,512"
06/02/2016,"11,677","11,677","11,591","11,620","1,116,923"
06/01/2016,"11,677","11,677","11,620","11,620","1,824,507"
05/31/2016,"11,734","11,734","11,620","11,620","2,069,345"
05/30/2016,"11,677","11,791","11,677","11,705","1,570,083"
05/27/2016,"11,620","11,705","11,506","11,677","2,366,255"
05/26/2016,"11,838","11,863","11,763","11,763","5,365,869"
05/25/2016,"11,838","11,863","11,788","11,813","2,416,170"
05/24/2016,"11,863","11,887","11,813","11,813","9,566,557"
05/23/2016,"11,962","11,962","11,838","11,838","1,393,688"
05/20/2016,"11,813","11,863","11,813","11,863","1,958,633"
05/19/2016,"11,887","11,887","11,788","11,813","751,134"
