Date,Open,High,Low,Close,Volume
07/01/2019,"19,058","19,514","19,017","19,514","6,157,852"
06/28/2019,"18,810","19,058","18,603","18,851","5,983,926"
06/27/2019,"19,079","19,100","18,768","18,810","3,440,102"
06/26/2019,"19,266","19,266","19,100","19,121","3,985,028"
06/25/2019,"18,644","19,286","18,561","19,266","7,939,523"
06/24/2019,"18,810","18,831","18,706","18,706","1,752,683"
06/21/2019,"18,851","18,893","18,748","18,810","2,226,479"
06/20/2019,"18,582","18,810","18,499","18,810","3,272,958"
06/19/2019,"18,354","18,520","18,313","18,499","2,946,611"
06/18/2019,"18,375","18,416","18,126","18,251","1,908,411"
06/17/2019,"18,271","18,437","18,188","18,251","3,289,805"
06/14/2019,"18,478","18,603","18,396","18,396","1,351,151"
06/13/2019,"18,665","18,686","18,437","18,458","2,066,721"
06/12/2019,"18,727","18,893","18,644","18,665","3,169,751"
06/11/2019,"18,686","18,893","18,603","18,727","3,129,274"
06/10/2019,"18,851","18,934","18,561","18,686","3,013,034"
06/07/2019,"18,561","18,748","18,520","18,727","3,214,867"
06/06/2019,"18,147","18,520","18,064","18,437","2,838,748"
06/05/2019,"18,023","18,188","18,023","18,064","1,665,648"
06/04/2019,"18,023","18,105","17,919","17,940","1,417,188"
06/03/2019,"18,230","18,271","18,023","18,023","2,128,365"
05/31/2019,"18,478","18,561","18,271","18,271","1,476,805"
05/30/2019,"18,271","18,520","18,188","18,458","2,380,928"
05/29/2019,"18,582","18,582","18,230","18,271","3,633,241"
05/28/2019,"18,644","18,810","18,541","18,582","1,854,804"
05/27/2019,"18,768","18,831","18,499","18,748","3,454,330"
05/24/2019,"18,851","19,038","18,748","18,893","3,004,369"
05/23/2019,"18,748","18,976","18,727","18,934","3,783,417"
05/22/2019,"19,038","19,121","18,748","18,748","12,612,798"
05/21/2019,"18,851","19,079","18,789","19,017","2,525,939"
05/20/2019,"18,437","18,768","18,437","18,748","4,325,543"
05/17/2019,"18,644","18,644","18,354","18,416","3,590,495"
05/16/2019,"18,983","19,096","18,701","18,701","7,676,362"
05/15/2019,"19,021","19,058","18,870","18,983","4,088,534"
05/14/2019,"18,606","19,134","18,493","18,908","4,143,996"
05/13/2019,"18,456","18,757","18,456","18,644","2,258,180"
05/10/2019,"18,456","18,550","18,362","18,456","4,162,581"
05/09/2019,"18,682","18,701","18,305","18,305","2,498,191"
05/08/2019,"18,569","18,719","18,456","18,701","3,953,341"
05/07/2019,"18,493","18,719","18,475","18,719","8,851,277"
05/06/2019,"18,456","18,606","18,249","18,362","3,969,590"
