Date,Open,High,Low,Close,Volume
07/01/2022,"16,894","17,121","16,326","16,970","20,862,606"
06/30/2022,"17,348","17,727","16,894","16,894","26,334,800"
06/29/2022,"16,894","17,538","16,742","17,235","29,190,886"
06/28/2022,"17,311","17,311","16,856","17,045","23,546,564"
06/27/2022,"16,667","17,348","16,174","17,348","27,376,280"
06/24/2022,"16,553","17,045","16,439","16,515","18,802,217"
06/23/2022,"16,288","16,553","16,288","16,515","9,142,587"
06/22/2022,"15,795","16,667","15,795","16,288","28,409,708"
06/21/2022,"16,174","16,288","15,530","15,758","54,034,350"
06/20/2022,"17,235","17,424","16,364","16,364","49,406,160"
06/17/2022,"17,765","17,803","16,629","17,576","39,913,114"
06/16/2022,"17,570","18,269","17,424","18,065","57,619,504"
06/15/2022,"17,541","18,007","16,812","17,133","53,826,456"
06/14/2022,"18,357","18,386","17,599","17,657","48,834,612"
06/13/2022,"19,231","19,522","18,473","18,531","36,440,975"
06/10/2022,"19,697","19,959","19,580","19,580","26,379,381"
06/09/2022,"19,172","20,134","19,085","19,697","47,052,546"
06/08/2022,"19,406","19,493","19,085","19,172","42,626,813"
06/07/2022,"19,406","19,551","19,027","19,347","33,541,621"
06/06/2022,"19,901","19,959","19,289","19,406","30,492,289"
06/03/2022,"19,406","19,814","19,376","19,464","25,746,177"
06/02/2022,"19,814","19,988","19,260","19,318","44,478,547"
06/01/2022,"20,105","20,280","19,697","20,017","37,130,290"
05/31/2022,"20,600","20,600","20,105","20,221","33,367,960"
05/30/2022,"20,688","20,892","20,571","20,659","26,759,818"
05/27/2022,"20,396","20,921","20,280","20,659","30,226,652"
05/26/2022,"20,396","20,746","20,134","20,396","27,843,472"
05/25/2022,"20,105","20,367","19,260","20,076","67,768,336"
05/24/2022,"21,416","21,562","19,930","20,338","74,166,200"
05/23/2022,"22,115","22,261","21,154","21,416","18,113,580"
05/20/2022,"21,970","22,028","21,707","21,941","23,902,849"
05/19/2022,"21,737","22,203","21,474","22,086","28,959,215"
05/18/2022,"22,378","22,552","22,057","22,261","30,615,841"
05/17/2022,"21,096","22,261","20,979","22,261","40,386,230"
05/16/2022,"21,591","21,853","21,154","21,154","50,666,097"
05/13/2022,"22,232","22,465","20,833","20,921","74,298,848"
05/12/2022,"23,660","23,689","22,290","22,290","48,304,712"
05/11/2022,"23,893","24,068","23,631","23,689","17,111,437"
05/10/2022,"23,019","23,951","22,552","23,951","34,045,439"
05/09/2022,"24,184","24,417","23,281","23,281","45,188,971"
05/06/2022,"24,126","25,058","24,126","24,359","26,101,389"
05/05/2022,"24,825","24,825","24,184","24,505","27,246,818"
05/04/2022,"25,233","25,233","24,476","24,476","28,709,195"
04/29/2022,"25,000","25,291","24,971","25,233","23,248,024"
04/28/2022,"24,767","25,321","24,767","25,117","23,397,316"
04/27/2022,"24,009","25,000","23,951","24,767","33,514,337"
04/26/2022,"23,397","24,126","23,077","24,009","40,240,370"
04/25/2022,"25,524","25,524","23,747","23,747","52,059,560"
04/22/2022,"25,641","25,670","24,679","25,524","21,789,767"
04/21/2022,"25,058","25,699","24,534","25,262","34,128,493"
04/20/2022,"25,350","25,641","25,117","25,175","23,067,329"
04/19/2022,"25,058","25,583","25,000","25,233","33,015,497"
04/18/2022,"25,670","25,962","24,854","24,854","40,213,429"
04/15/2022,"26,166","26,224","25,728","25,758","31,571,825"
04/14/2022,"26,399","26,544","26,166","26,166","23,006,068"
04/13/2022,"26,399","26,486","26,049","26,340","24,654,801"
