Date,Open,High,Low,Close,Volume
07/01/2021,"106,400","106,578","105,333","105,422","2,469,037"
06/30/2021,"104,889","108,000","104,889","105,778","3,140,887"
06/29/2021,"103,911","106,044","103,911","104,889","2,784,262"
06/28/2021,"104,444","104,533","103,733","103,733","2,333,362"
06/25/2021,"104,178","104,889","103,733","104,444","2,208,712"
06/24/2021,"104,800","105,067","103,822","104,444","1,546,087"
06/23/2021,"104,889","104,978","103,556","103,911","1,441,350"
06/22/2021,"104,889","105,511","104,089","104,444","2,656,800"
06/21/2021,"104,444","105,689","104,267","104,356","1,684,350"
06/18/2021,"104,889","105,156","104,000","104,356","2,068,987"
06/17/2021,"104,889","105,689","104,000","104,000","3,429,562"
06/16/2021,"108,178","108,178","105,778","105,867","1,328,175"
06/15/2021,"106,667","108,444","106,222","108,178","3,246,300"
06/14/2021,"105,067","107,111","104,978","106,667","2,535,525"
06/11/2021,"104,000","104,889","103,378","104,889","1,945,125"
06/10/2021,"105,333","105,956","103,556","103,556","3,317,625"
06/09/2021,"106,667","107,556","104,000","105,600","2,264,962"
06/08/2021,"111,022","111,733","105,778","106,489","3,374,550"
06/07/2021,"109,156","112,444","108,444","109,333","4,142,025"
06/04/2021,"105,333","107,556","105,333","107,556","4,150,350"
06/03/2021,"104,889","105,600","104,000","105,333","2,937,712"
06/02/2021,"106,844","108,356","104,000","104,444","3,521,925"
06/01/2021,"103,289","107,556","103,111","106,667","2,424,825"
05/31/2021,"106,489","106,667","103,111","104,444","2,409,525"
05/28/2021,"106,756","109,333","105,778","106,489","2,078,325"
05/27/2021,"107,467","107,556","105,778","106,933","2,797,087"
05/26/2021,"108,444","108,622","107,111","108,178","1,887,187"
05/25/2021,"108,800","108,800","107,733","108,711","1,704,262"
05/24/2021,"108,889","109,867","107,556","108,533","2,234,025"
05/21/2021,"109,333","109,333","107,111","108,889","1,868,794"
05/20/2021,"106,756","109,511","106,667","109,244","2,345,512"
05/19/2021,"106,667","107,556","104,978","106,756","2,450,700"
05/18/2021,"110,222","112,000","107,556","107,556","2,759,287"
05/17/2021,"112,000","115,556","110,222","110,222","2,720,137"
05/14/2021,"112,444","112,889","109,511","111,378","4,106,025"
05/13/2021,"113,778","115,556","112,444","112,444","1,938,937"
05/12/2021,"115,556","117,333","113,778","115,378","1,620,450"
05/11/2021,"117,778","118,578","116,000","116,444","1,309,725"
05/10/2021,"117,333","117,778","114,756","117,778","1,236,712"
05/07/2021,"117,333","117,333","114,222","117,333","1,990,237"
05/06/2021,"118,844","119,111","116,444","117,778","1,197,225"
05/05/2021,"118,756","120,711","118,756","118,844","1,427,175"
05/04/2021,"116,089","119,911","112,800","118,756","1,949,175"
04/29/2021,"116,889","118,222","116,178","116,444","2,453,737"
04/28/2021,"117,422","118,400","115,378","116,889","1,857,712"
04/27/2021,"116,889","118,222","116,889","117,422","2,960,662"
04/26/2021,"123,556","124,000","116,444","116,889","2,906,920"
04/23/2021,"123,378","124,000","118,222","122,933","5,186,250"
04/22/2021,"126,222","127,022","122,222","123,378","3,734,437"
04/20/2021,"128,000","129,689","127,111","127,200","3,496,725"
04/19/2021,"126,311","128,178","125,422","128,000","3,241,575"
04/16/2021,"125,244","128,089","124,444","127,111","3,442,950"
04/15/2021,"124,356","128,889","124,356","125,244","4,071,375"
04/14/2021,"124,444","126,044","122,756","124,444","4,615,425"
04/13/2021,"123,556","125,511","120,889","125,067","9,653,129"
04/12/2021,"111,022","118,044","109,689","117,333","5,042,137"
04/09/2021,"110,933","111,467","109,422","111,022","3,172,725"
04/08/2021,"114,133","114,133","110,222","111,467","2,371,612"
04/07/2021,"112,889","113,778","111,733","113,511","2,473,312"
04/06/2021,"110,489","115,111","110,222","112,889","3,653,325"
04/05/2021,"112,000","112,178","109,511","110,489","2,685,375"
04/02/2021,"110,133","110,133","108,000","109,333","2,591,775"
04/01/2021,"105,333","110,578","104,000","109,333","4,591,012"
03/31/2021,"104,444","106,222","104,000","104,800","9,926,549"
03/30/2021,"100,267","105,422","99,556","104,000","7,508,924"
03/29/2021,"100,000","100,889","99,822","100,267","5,558,512"
03/26/2021,"97,778","100,889","97,778","99,911","3,293,775"
03/25/2021,"95,378","99,911","95,200","98,133","13,243,499"
03/24/2021,"93,778","96,000","92,267","95,911","1,337,850"
03/23/2021,"94,222","95,111","93,422","94,667","1,164,037"
03/22/2021,"96,356","96,356","92,889","95,378","1,095,637"
03/19/2021,"93,867","96,356","93,867","96,356","2,524,837"
03/18/2021,"93,778","94,756","93,511","94,756","1,658,137"
03/17/2021,"92,622","93,600","92,444","93,067","1,417,950"
03/16/2021,"94,222","94,222","93,244","93,689","1,530,675"
03/15/2021,"94,133","94,400","93,689","94,222","2,961,450"
03/12/2021,"94,133","94,667","93,333","94,133","1,262,587"
03/11/2021,"94,222","96,000","93,867","94,133","1,247,287"
03/10/2021,"92,889","94,222","90,756","94,222","648,337"
03/09/2021,"93,333","94,489","88,889","92,711","1,898,550"
03/08/2021,"94,667","95,111","93,333","94,222","1,563,862"
03/05/2021,"95,022","95,556","94,044","94,489","1,456,650"
03/04/2021,"95,644","95,911","94,756","95,022","1,880,325"
03/03/2021,"94,756","96,178","94,667","95,022","1,209,712"
03/02/2021,"96,444","96,978","94,400","96,178","1,099,237"
03/01/2021,"97,689","97,689","95,733","96,444","874,912"
02/26/2021,"94,400","97,689","94,400","96,889","1,042,650"
02/25/2021,"97,333","97,689","94,311","96,800","1,166,530"
02/24/2021,"99,022","99,022","94,222","96,178","1,068,862"
02/23/2021,"96,178","99,289","95,556","97,778","1,568,137"
02/22/2021,"97,067","98,400","94,222","97,511","1,666,125"
02/19/2021,"95,644","97,333","95,111","96,889","1,612,350"
02/18/2021,"95,556","97,778","94,311","97,778","1,636,267"
02/17/2021,"94,489","96,000","94,400","96,000","1,410,300"
02/09/2021,"92,444","94,667","90,222","94,400","1,977,750"
