q,u,Nu,xi,beta,ks_p
0.9,0.021207999999999998,262,-0.23131553348932954,0.0,
0.9039583333333333,0.02164006354166667,252,-0.25460280134024305,0.0,
0.9079166666666667,0.022169041666666674,241,-0.2792819336572648,0.0,
0.911875,0.02289898749999998,231,-0.2832171403427094,0.0,
0.9158333333333334,0.023433658333333336,221,-0.3081720697169268,0.0,
0.9197916666666667,0.024387656250000004,210,-0.308065221624311,0.0,
0.9237500000000001,0.025023012500000018,200,-0.33423136302348244,0.0,
0.9277083333333334,0.026062505208333333,190,-0.32611910451232,0.0,
0.9316666666666666,0.026752066666666675,179,-0.36847593531905387,0.0,
0.935625,0.028118143750000064,169,-0.3386093668410934,0.0,
0.9395833333333333,0.02872917708333333,158,-0.4086609318782031,0.0,
0.9435416666666667,0.029760904166666664,148,-0.43499947148452345,0.0,
0.9475,0.030685412500000002,138,-0.4867121290360098,0.0,
0.9514583333333333,0.03155174895833332,127,-0.5887103755861063,0.0,
0.9554166666666667,0.03268911666666666,117,-0.6800213654287924,0.0,
0.959375,0.03421296875,107,-0.776070669710211,0.0,
0.9633333333333334,0.036009983333333336,96,-0.960535612270103,0.0,
0.9672916666666667,0.03828677083333332,86,-1.0367565720073335,0.0,
0.97125,0.03950561874999998,76,-1.1788334663898627,0.0,
0.9752083333333333,0.043137015625000004,65,-1.092227354899112,0.0,
0.9791666666666666,0.04466904166666648,55,-1.2594760305212196,0.0,
0.983125,0.047614750000000025,45,-1.3539152791450113,0.0,
0.9870833333333333,0.049738758333333306,34,-1.9491233084150754,0.0,
0.9910416666666666,0.05582388124999997,24,-1.4816561101004901,0.0,
