q,u,Nu,xi,beta,ks_p
0.9,0.017840500000000002,262,-0.13150396846385506,0.0,
0.9039583333333333,0.018286403125000007,252,-0.14241783845775235,0.0,
0.9079166666666667,0.018846104166666676,241,-0.151046004718784,0.0,
0.911875,0.019507084375,231,-0.14694045286825172,0.0,
0.9158333333333334,0.019934412500000002,221,-0.16746041481471405,0.0,
0.9197916666666667,0.02063093229166667,210,-0.17399661332585115,0.0,
0.9237500000000001,0.021099318750000023,200,-0.19692988689011764,0.0,
0.9277083333333334,0.021938138541666662,190,-0.19334404683741713,0.0,
0.9316666666666666,0.022544841666666673,179,-0.2193632958117001,0.0,
0.935625,0.02325923125,169,-0.2351860007080812,0.0,
0.9395833333333333,0.023985104166666663,158,-0.2628068439516177,0.0,
0.9435416666666667,0.025259628124999996,148,-0.24766123772578724,0.0,
0.9475,0.026123450000000006,138,-0.2682217131737402,0.0,
0.9514583333333333,0.027591062499999926,127,-0.2528923493627889,0.0,
0.9554166666666667,0.028996193749999996,117,-0.2338700012564655,0.0,
0.959375,0.030620078125,107,-0.1949387196040045,0.0,
0.9633333333333334,0.03185900000000004,96,-0.22566867150732917,0.0,
0.9672916666666667,0.03318395104166666,86,-0.24512014634492552,0.0,
0.97125,0.034733024999999994,76,-0.2678469855745238,0.0,
0.9752083333333333,0.03584811041666667,65,-0.4320523498537454,0.0,
0.9791666666666666,0.03842043749999994,55,-0.4727924678862937,0.0,
0.983125,0.04107533437500001,45,-0.6294991249515816,0.0,
0.9870833333333333,0.044341870833333324,34,-1.139347606047299,0.0,
0.9910416666666666,0.04737991458333317,24,-1.4023750084358215,0.0,
