q,u,Nu,xi,beta,ks_p
0.9,0.0249855,262,-0.37932786526931384,0.0,
0.9039583333333333,0.025577871875,252,-0.3989649374189948,0.0,
0.9079166666666667,0.02635644583333334,241,-0.4133993804259993,0.0,
0.911875,0.02683031875,231,-0.4559348376869113,0.0,
0.9158333333333334,0.027808233333333335,221,-0.45502967173335385,0.0,
0.9197916666666667,0.028644296875000003,210,-0.48445624700649353,0.0,
0.9237500000000001,0.02932006875000001,200,-0.5303186334003955,0.0,
0.9277083333333334,0.03023422395833333,190,-0.5595024992114451,0.0,
0.9316666666666666,0.030982125000000006,179,-0.6496585955579849,0.0,
0.935625,0.031857659375,169,-0.7413438820243841,0.0,
0.9395833333333333,0.0330822395833333,158,-0.8182000997884468,0.0,
0.9435416666666667,0.03436513541666666,148,-0.8575438501907965,0.0,
0.9475,0.03565133750000001,138,-0.8931620046382316,0.0,
0.9514583333333333,0.03719068124999993,127,-0.9298612407521396,0.0,
0.9554166666666667,0.03852982499999999,117,-0.979026376977282,0.0,
0.959375,0.03943075,107,-1.0519364006718728,0.0,
0.9633333333333334,0.04116375,96,-1.111089317817094,0.0,
0.9672916666666667,0.042276982291666654,86,-1.2347604422912257,0.0,
0.97125,0.04374788749999999,76,-1.2635680643281975,0.0,
0.9752083333333333,0.04484175000000001,65,-1.4523128808847006,0.0,
0.9791666666666666,0.04789091666666657,55,-1.274300455174178,0.0,
0.983125,0.05281680000000011,45,-1.5298791574776138,0.0,
0.9870833333333333,0.056562783333333304,34,-1.71414001864421,0.0,
0.9910416666666666,0.06177204583333286,24,-1.5223752078941535,0.0,
